perturb_percent,perturb_time,controller,t_settle_after,ITAE,metric_M,rise_time,overshoot,settling_time_abs,rank_M,is_best
50,420,PID-GS-FF,213.50505050505046,2974.4856458889535,0.5299768674852456,-40.56565656565655,7.822514434058371,633.5050505050505,3.0,False
50,420,PID,468.27272727272725,9164.737123191184,1.439954122182519,-40.56565656565655,13.735936672314436,888.2727272727273,4.0,False
50,450,PID-GS,153.10101010101005,1870.1208444522122,0.35508474616075336,-40.56565656565655,5.689365104782112,603.10101010101,1.0,True
50,450,FF,321.9775383185304,3965.7092791947953,0.7497728866824002,-40.56565656565655,5.325028400518262,771.9775383185304,3.0,False
50,450,PID-FF,510.0,9825.29227683157,1.550985244148072,-40.56565656565655,14.499930990730894,960.0,5.0,False
50,450,PID-GS-FF,231.8888888888889,2917.1398824198905,0.5456461089384204,-40.56565656565655,7.955733398288572,681.8888888888889,2.0,False
50,450,PID,469.8484848484849,8636.861414974723,1.3833807758511911,-40.56565656565655,13.440575789635407,919.8484848484849,4.0,False
50,480,PID-GS,135.2828282828283,1539.721203319067,0.3035948541956166,-40.56565656565655,5.475303498960845,615.2828282828283,1.0,True
50,480,FF,356.97999579913346,4227.645206897729,0.8158372193758203,-40.56565656565655,5.940622071292181,836.9799957991335,3.0,False
50,480,PID-FF,480.0,8748.003034805102,1.4050670034445003,-40.56565656565655,14.23183429512416,960.0,5.0,False
50,480,PID-GS-FF,218.67676767676767,2627.012385295129,0.5031404517938263,-40.56565656565655,7.860886300325618,698.6767676767677,2.0,False
50,480,PID,447.30303030303025,7626.706190472501,1.252948251464813,-40.56565656565655,13.109534473479433,927.3030303030303,4.0,False
50,510,PID-GS,0.0,1134.298271211992,0.1497721193621627,-40.56565656565655,4.6641609904597505,245.84848484848484,1.0,True
50,510,FF,424.7171717171717,4760.145364435462,0.946633350884191,-40.56565656565655,7.032545387257826,934.7171717171717,3.0,False
50,510,PID-FF,450.0,7440.903641202418,1.236038892297303,-40.56565656565655,13.36846710713436,960.0,5.0,False
50,510,PID-GS-FF,209.77777777777783,2324.7500350228347,0.4652574885111447,-40.56565656565655,7.38236194611389,719.7777777777778,2.0,False
50,510,PID,414.6363636363636,6308.372842387973,1.0823018325779568,-40.56565656565655,12.066797701812842,924.6363636363636,4.0,False
50,540,PID-GS,0.0,783.3881480552087,0.10343813985721949,-40.56565656565655,3.8110512765173596,245.84848484848484,1.0,True
50,540,FF,420.0,4588.760610955722,0.9258032673722444,-40.56565656565655,7.553090348289866,960.0,4.0,False
50,540,PID-FF,420.0,6105.766783337769,1.0676899372733906,-40.56565656565655,12.60433399824921,960.0,5.0,False
50,540,PID-GS-FF,178.75757575757575,1796.0006255785647,0.3807868626048592,-40.56565656565655,6.838087646288284,718.7575757575758,2.0,False
50,540,PID,363.50505050505046,4991.506228485991,0.8952234644738758,-40.56565656565655,11.142452162812125,903.5050505050505,3.0,False
60,360,PID-GS,48.111111111111086,1935.418284730349,0.26783626767899066,-40.56565656565655,1.545813544169075,408.1111111111111,1.0,True
60,360,FF,114.6432940946197,2882.2250624325643,0.4258404903588021,-40.56565656565655,1.6619237141581293,474.6432940946197,3.0,False
